slug,english,arabic,urdu,gender,qfacts_gender,person_ld_gender,namecard_gender,faq_gender_answer,origin,letters,letter_breakdown,meaning_dict,meaning_root,meaning_iuh,mean_dict_marker_placeholder,mean_root_marker_placeholder,mean_iuh_marker_placeholder,bearers_count_json,is_widely_attested_negative,word_count_prose,prose_male_pronouns,prose_female_pronouns,is_duplicate_of,slug_spelling_ok,arabic_ok,urdu_ok,gender_verified,gender_review_needed,content_thin,content_review_needed,famous_bearers_count,bearers_count_visible
abbas,Abbas,عَبَّاس,عَبَّاس,Male,Male,Male,Male,"Abbas is traditionally a Muslim boy name. Lion, stern-faced — the fierce protector.",Arabic,4,Ain · Ba · Alif · Sin,"Stern lion, frowning — the Prophet's uncle al-ʿAbbās.","ع-ب-س — From ʿ-b-s, to frown; figuratively, the lion's stern face.","Ain perceives, Ba is vessel, Alif origin, Sin expansion.",0,0,0,1,0,848,0,0,,1,1,1,1,0,0,0,1,1
abd-ar-rahman,Abd ar Rahman,عَبْد الرَّحْمَن,عَبْد الرَّحْمَن,Male,Male,Male,Male,Abd ar Rahman is a boy name in Islam. Abdurrahman — alternate romanisation.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Ra · Ha · Meem · Nun,Servant of الرحمن — the All-Merciful,"ر-ح-م — From r-ḥ-m, womb, mercy — the root of raḥma, ar-Raḥmān (the All-Merciful), and ar-Raḥīm (the Most Merciful).","Ain and Ba-Dal form ʿabd, the servant; then Ra is mercy in motion, Ha-breath the life-breath, Meem the water of love, Nun the inkwell of knowing. Servant, mercy, breath, love, knowledge — one whose service is shaped by the All-Merciful.",0,0,0,4,0,1463,3,0,,1,1,1,1,0,0,0,4,4
abdallah,Abdallah,عَبْد الله,عبداللہ,Male,Male,Male,Male,Abdallah is a boy name in Islam. Abdullah — North African and Francophone spelling.,Arabic,7,Ain · Ba · Dal · Alif · Lam · Lam · Ha,Abdullah — North African and Francophone spelling,"ع-ب-د — ʿAbd from ʿ-b-d (to worship, serve) joined to Allāh — ʿAbd Allāh literally means servant of God, the most beloved of names in the hadith tradition.","Ain perceives the Real, Ba builds the vessel of service, Dal opens the door of return, Lam-Lam doubles the joining of intimacy, final Ha-light the divine identity. Perception, vessel, return, joining, divinity — a life named for sheer servitude.",0,0,0,4,0,1325,1,0,,1,1,1,1,0,0,0,4,4
abdelali,Abdelali,عَبْد الْعَالِي,عبد العالی,Male,Male,Male,Male,Abdelali is a boy name in Islam. Abdelali — Servant of the High — North African. s in .,Arabic,9,Ain · Ba · Dal · Alif · Lam · Ain · Alif · Lam · Ya,Servant of العلي — the Most-High,"ع-ل-و — From ʿ-l-w, to be high, exalted — al-ʿAlī (the Most High) is the divine name in this Maghrebi compound ʿAbd al-ʿAlī.","Ain of servitude meets Ain of the Most High, Ba the body of obedience, Dal the door of return, Lam joining, Ya reaching upward. Servant, perception, joining, reaching — one whose lowness mirrors the height of the One he serves.",0,0,0,1,0,1274,2,0,,1,1,1,1,0,0,0,1,1
abdelaziz,Abdelaziz,عَبْد الْعَزِيز,عبدالعزیز,Male,Male,Male,Male,Abdelaziz is a boy name in Islam. Servant of the Mighty — North African boys name.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Ain · Zayn · Ya · Zayn,Servant of the Mighty — North African boys name,"ع-ز-ز — From ʿ-z-z, to be mighty, dear, unassailable — al-ʿAzīz (the Mighty) is the divine name in ʿAbd al-ʿAzīz.","Ain of the servant, Ba the body, Dal the door, then Ain again of al-ʿAzīz, Zayn the ornament, Ya the reaching, Zayn doubled in adornment. Servant, vessel, return, perception, adornment — strength wrapped in humility.",0,0,0,3,0,1387,3,0,,1,1,1,1,0,0,0,3,3
abdelfattah,Abdelfattah,عَبْد الْفَتَّاح,عَبْد الْفَتَّاح,Male,Male,Male,Male,Abdelfattah is a boy name in Islam. Abdelfattah — Servant of the Opener — North African. .,Arabic,9,Ain · Ba · Dal · Alif · Lam · Fa · Ta · Alif · Ha,Servant of الفتاح — the Opener,"ف-ت-ح — From f-t-ḥ, to open, to grant victory — al-Fattāḥ (the Opener) is the divine name in ʿAbd al-Fattāḥ, sharing the root with fatḥ (conquest, opening).","Ain-Ba-Dal mark the servant, Fa is the opening, Ta the inscribing witness, doubled Alif of origin, Ha-breath the breath of life. Servant, opening, witnessing, origin, breath — one whose calling is to be a doorway flung wide.",0,0,0,2,0,1283,2,0,,1,1,1,1,0,0,0,2,2
abdelghani,Abdelghani,عَبْد الْغَنِيّ,عبد الغنی,Male,Male,Male,Male,Abdelghani is a boy name in Islam. Abdelghani — Servant of the Rich — North African. s i.,Arabic,8,Ain · Ba · Dal · Alif · Lam · Ghayn · Nun · Ya,Servant of الغني — the Self-Sufficient,"غ-ن-ي — From gh-n-y, to be self-sufficient, rich — al-Ghanī (the Self-Sufficient, the Rich) is the divine name in ʿAbd al-Ghanī.","Ain-Ba-Dal of the servant, then Ghayn the hidden mystery, Nun the inkwell of knowing, Ya the reaching toward what cannot be exhausted. Servant, hidden mystery, knowledge, yearning — one who depends on a wealth that has no end.",0,0,0,1,0,1279,2,0,,1,1,1,1,0,0,0,1,1
abdelhafid,Abdelhafid,عَبْد الْحَفِيظ,عبدالحفیظ,Male,Male,Male,Male,Abdelhafid is a boy name in Islam. Servant of the Guardian — North African boys name.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Ha · Fa · Ya · Dha,Servant of الحفيظ — the Preserver,"ح-ف-ظ — From ḥ-f-ẓ, to guard, preserve, memorize — al-Ḥafīẓ (the Preserver) is the divine name in ʿAbd al-Ḥafīẓ.","Ain-Ba-Dal of the servant, Ha-breath the life-breath, Fa the opening, Ya the reaching, Dha the remembrance that preserves. Servant, breath, opening, reaching, remembrance — a guardianship rooted in dhikr.",0,0,0,1,0,1275,2,0,,1,1,1,1,0,0,0,1,1
abdelhak,Abdelhak,عَبْد الْحَقّ,عَبْد الْحَقّ,Male,Male,Male,Male,Abdelhak is a boy name in Islam. Servant of Truth — North African boys name.,Arabic,7,Ain · Ba · Dal · Alif · Lam · Ha · Qaf,Servant of Truth — North African boys name,"ح-ق-ق — From ḥ-q-q, truth, reality, what is rightly due — al-Ḥaqq (the Truth, the Real) is the divine name in ʿAbd al-Ḥaqq.","Ain-Ba-Dal of the servant, Ha-breath the breath of life, Qaf the reaching of the heart toward nearness. Servant, breath, nearness — one whose every breath is bent toward the Real.",0,0,0,2,0,1210,1,0,,1,1,1,1,0,0,0,2,2
abdelhamid,Abdelhamid,عَبْد الْحَمِيد,عبدالحمید,Male,Male,Male,Male,Abdelhamid is a boy name in Islam. Servant of the Praised — North African boys name.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Ha · Meem · Ya · Dal,Servant of الحميد — the Praiseworthy,"ح-م-د — From ḥ-m-d, to praise — al-Ḥamīd (the Praiseworthy) is the divine name in ʿAbd al-Ḥamīd, the same root as Ahmad, Mahmud, Hamid.","Ain-Ba-Dal of the servant, Ha-breath the breath of praise, Meem the water of love, Ya the reaching, Dal the door of return. Servant, breath, love, reaching, return — a life whose every exhalation is hamd.",0,0,0,3,0,1364,2,0,,1,1,1,1,0,0,0,3,3
abdelilah,Abdelilah,عبد الإله,عبدالاله,Male,Male,Male,Male,Abdelilah is a boy name in Islam. Servant of God — Moroccan boys name.,Arabic,8,Ain · Ba · Dal · Alif · Lam · Alif · Lam · Ha,Servant of God — Moroccan boys name,"ء-ل-ه — From ʾ-l-h, divinity — al-Ilāh is the God, the same root as Allāh; ʿAbd al-Ilāh means servant of the God.","Ain-Ba-Dal of the servant, Alif and Lam the article that joins, Alif again the origin, Lam joining, Ha-light the He-ness of divinity. Servant, joining, origin, joining, divinity — a name that is a confession of pure tawḥīd.",0,0,0,2,0,1333,2,0,,1,1,1,1,0,0,0,2,2
abdeljabbar,Abdeljabbar,عَبْد الْجَبَّار,عَبْد الْجَبَّار,Male,Male,Male,Male,Abdeljabbar is a boy name in Islam. Abdeljabbar — Servant of the Compeller — North African. This name carries deep r.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Jeem · Ba · Alif · Ra,Servant of الجبار — the Compeller,"ج-ب-ر — From j-b-r, to set what is broken, to compel — al-Jabbār (the Compeller, the Restorer) is the divine name in ʿAbd al-Jabbār.","Ain-Ba-Dal of the servant, Jeem the beauty, doubled Ba the foundation built up, Alif the One, Ra mercy in motion. Servant, beauty, foundation, origin, mercy — a strength that mends what is broken.",0,0,0,2,0,1298,2,0,,1,1,1,1,0,0,0,2,2
abdelkader,Abdelkader,عَبْد الْقَادِر,عَبْد الْقَادِر,Male,Male,Male,Male,Abdelkader is a boy name in Islam. Servant of the Capable — North African.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Qaf · Alif · Dal · Ra,Servant of القادر — the Able,"ق-د-ر — From q-d-r, to have power, to decree — al-Qādir (the All-Powerful) is the divine name in ʿAbd al-Qādir, sharing the root with qadar (destiny).","Ain-Ba-Dal of the servant, Qaf the heart drawn near, Alif the origin, Dal the door, Ra mercy in motion. Servant, nearness, origin, threshold, mercy — one who knows that all power is borrowed.",0,0,0,2,0,1362,2,0,,1,1,1,1,0,0,0,2,2
abdelkarim,Abdelkarim,عَبْد الْكَرِيم,عبدالکریم,Male,Male,Male,Male,Abdelkarim is a boy name in Islam. Servant of the Generous — North African boys name.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Kaf · Ra · Ya · Meem,Servant of the Generous — North African boys name,"ك-ر-م — From k-r-m, to be generous, noble — al-Karīm (the Generous) is the divine name in ʿAbd al-Karīm, sharing the root with karam (generosity).","Ain-Ba-Dal of the servant, Kaf the kun of creative giving, Ra mercy in motion, Ya the reaching, Meem the water of love. Servant, creativity, mercy, yearning, love — generosity poured from a hand that is not its own.",0,0,0,2,0,1344,0,0,,1,1,1,1,0,0,0,2,2
abdellatif,Abdellatif,عَبْد اللَّطِيف,عبداللطیف,Male,Male,Male,Male,Abdellatif is a boy name in Islam. Servant of the Gentle — North African.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Lam · Ta · Ya · Fa,Servant of اللطيف — the Subtle,"ل-ط-ف — From l-ṭ-f, to be subtle, gentle, kind — al-Laṭīf (the Subtle, the Kind) is the divine name in ʿAbd al-Laṭīf.","Ain-Ba-Dal of the servant, doubled Lam of intimate joining, Ta-heavy the purity, Ya the reaching, Fa the opening. Servant, intimacy, purity, yearning, opening — kindness that arrives so softly it is almost hidden.",0,0,0,2,0,1366,3,0,,1,1,1,1,0,0,0,2,2
abdelmajid,Abdelmajid,عَبْد الْمَجِيد,عبدالمجید,Male,Male,Male,Male,Abdelmajid is a boy name in Islam. Servant of the Glorious — North African.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Meem · Jeem · Ya · Dal,Servant of المجيد — the Glorious,"م-ج-د — From m-j-d, glory, nobility — al-Majīd (the Glorious) is the divine name in ʿAbd al-Majīd, sharing the root with majd (glory).","Ain-Ba-Dal of the servant, Meem the water of love, Jeem the beauty, Ya the reaching, Dal the door. Servant, love, beauty, reaching, threshold — glory borrowed and worn lightly.",0,0,0,2,0,1336,2,0,,1,1,1,1,0,0,0,2,2
abdelmoumen,Abdelmoumen,عبد المؤمن,عبدالمؤمن,Male,Male,Male,Male,Abdelmoumen is a boy name in Islam. Servant of the Believer — North African.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Meem · Waw · Meem · Nun,Servant of المؤمن — the Giver of Security,"ء-م-ن — From ʾ-m-n, faith, safety, trust — al-Muʾmin (the Bestower of Faith / Security) is the divine name in ʿAbd al-Muʾmin.","Ain-Ba-Dal of the servant, Meem the water of love, Waw the conjunction, Meem again the doubled love, Nun the inkwell of knowing. Servant, love, connection, love, knowledge — a heart kept safe inside the One who gives safety.",0,0,0,1,0,1315,2,0,,1,1,1,1,0,0,0,1,1
abdelnour,Abdelnour,عَبْد النُّور,عَبْد النُّور,Male,Male,Male,Male,Abdelnour is a boy name in Islam. Abdelnour — Servant of the Light — North African. s i.,Arabic,8,Ain · Ba · Dal · Alif · Lam · Nun · Waw · Ra,Servant of النور — the Light,"ع-ب-د / ن-و-ر — A compound of ʿabd (servant) from ʿ-b-d and al-Nūr (the Light) from n-w-r. Together: servant of the Light, one of the divine names of God.","The Ain perceives the divine Light, the Ba founds the posture of servanthood, and the Dal turns as a door of return; then the Nun of knowledge, the Waw of connection, and the Ra of mercy compose the Light he serves.",0,0,0,0,0,1265,2,0,,1,1,1,1,0,0,0,1,1
abdelouahed,Abdelouahed,عَبْد الْوَاحِد,عَبْد الْوَاحِد,Male,Male,Male,Male,Abdelouahed is a boy name in Islam. Servant of the One — North African.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Waw · Alif · Ha · Dal,Servant of الوهاب — the Bestower,ع-ب-د / و-ح-د — A compound of ʿabd (servant) from ʿ-b-d and al-Wāḥid (the One) from w-ḥ-d. The whole name means servant of the One God.,"The Ain of perceiving and the Ba of foundation set the worshipper's stance, the Dal opens as a door of return, while the Waw of connection, the Ha of life-breath, and the closing Dal bind the servant to the One.",0,0,0,0,0,1358,2,0,,1,1,1,1,0,0,0,1,1
abdelouahid,Abdelouahid,عَبْد الْوَاحِد,عَبْد الْوَاحِد,Male,Male,Male,Male,Abdelouahid is a boy name in Islam. Servant of the One — Moroccan variant.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Waw · Alif · Ha · Dal,Servant of الأحد — the One,ع-ب-د / و-ح-د — A compound of ʿabd (servant) from ʿ-b-d and al-Wāḥid (the One) from w-ḥ-d. Servant of the One who has no partner.,"The Ain perceives the One, the Ba founds the servanthood, and the Dal becomes the door of return; the Waw of connection then ties the soul to the Ha of life-breath and the final Dal of return, sealing the servant to the One.",0,0,0,0,1,1343,2,0,,1,1,1,1,0,0,1,0,0
abdelwafi,Abdelwafi,عبد الوافي,عبد الوافی,Male,Male,Male,Male,Abdelwafi is a boy name in Islam. Abdelwafi — Servant of the Faithful — North African. .,Arabic,9,Ain · Ba · Dal · Alif · Lam · Waw · Alif · Fa · Ya,Servant of الوكيل — the Trustee,"ع-ب-د / و-ف-ي — A compound of ʿabd (servant) from ʿ-b-d and al-Wafī (the Faithful, the All-Fulfilling) from w-f-y. Servant of the Faithful One who keeps every promise.","The Ain perceives the faithfulness of God, the Ba founds the servant's stance, and the Dal turns as a door of return; the Waw of connection, the Fa of opening, and the Ya of yearning bind him to the Faithful.",0,0,0,0,1,1291,4,0,,1,1,1,1,0,0,1,0,0
abdelwahed,Abdelwahed,عَبْد الْوَاحِد,عَبْد الْوَاحِد,Male,Male,Male,Male,Abdelwahed is a boy name in Islam. Servant of One.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Waw · Alif · Ha · Dal,Servant of One.,"و-ح-د — From w-ḥ-d, oneness — al-Wāḥid (the One) is the divine name in ʿAbd al-Wāḥid, sharing the root with tawḥīd.","Ain-Ba-Dal of the servant, Waw the conjunction, Alif the origin, Ha-breath the life-breath, Dal the door. Servant, conjunction, origin, breath, threshold — a soul oriented to the singular Real.",0,0,0,1,0,1305,1,0,,1,1,1,1,0,0,0,1,1
abdelwahid,Abdelwahid,عَبْد الْوَاحِد,عَبْد الْوَاحِد,Male,Male,Male,Male,Abdelwahid is a boy name in Islam. Servant of the One — North African.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Waw · Alif · Ha · Dal,Servant of the One — North African,ع-ب-د / و-ح-د — A compound of ʿabd (servant) from ʿ-b-d and al-Wāḥid (the One) from w-ḥ-d. Servant of the One God.,"The Ain of perceiving sees the Oneness, the Ba founds humble service, and the Dal opens as a door of return; the Waw of connection joins the soul through the Ha of life-breath to the final Dal, sealing the bond.",0,0,0,0,0,1341,0,0,,1,1,1,1,0,0,0,1,1
abderrahim,Abderrahim,عَبْد الرَّحِيم,عبدالرحیم,Male,Male,Male,Male,Abderrahim is a boy name in Islam. Servant of the Merciful — North African.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Ra · Ha · Ya · Meem,Servant of الرحيم — the Especially-Merciful,"ر-ح-م — From r-ḥ-m, womb, mercy — ar-Raḥīm (the Most Merciful) is the divine name in ʿAbd ar-Raḥīm, the same root as raḥma and ar-Raḥmān.","Ain-Ba-Dal of the servant, Ra mercy in motion, Ha-breath the breath of life, Ya the reaching, Meem the water of love. Servant, mercy, breath, yearning, love — a tenderness that never withholds itself.",0,0,0,2,0,1364,5,0,,1,1,1,1,0,0,0,2,2
abderrahmane,Abderrahmane,عَبْد الرَّحْمَن,عَبْد الرَّحْمَن,Male,Male,Male,Male,Abderrahmane is a boy name in Islam. Abdurrahman — Algerian/Berber spelling.,Berber,9,Ain · Ba · Dal · Alif · Lam · Ra · Ha · Meem · Nun,Abdurrahman — Algerian/Berber spelling,"ر-ح-م — From r-ḥ-m, womb, mercy — ar-Raḥmān (the All-Merciful) is the divine name in ʿAbd ar-Raḥmān, the same root as raḥma and ar-Raḥīm.","Ain-Ba-Dal of the servant, Ra mercy in motion, Ha-breath the breath of life, Meem the water of love, Nun the inkwell of knowing. Servant, mercy, breath, love, knowledge — a life named for the mercy that precedes everything.",0,0,0,2,0,1283,2,0,,1,1,1,1,0,0,0,2,2
abderraouf,Abderraouf,عبد الرؤوف,عبدالرؤوف,Male,Male,Male,Male,Abderraouf is a boy name in Islam. Servant of the Compassionate — North African.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Ra · Waw · Waw · Fa,Servant of الرؤوف — the Kind,"ر-ء-ف — From r-ʾ-f, deep compassion — ar-Raʾūf (the Most Compassionate) is the divine name in ʿAbd ar-Raʾūf, sharing the root with raʾfa (pity, tenderness).","Ain-Ba-Dal of the servant, Ra mercy in motion, doubled Waw the binding conjunctions, Fa the opening. Servant, mercy, connection, connection, opening — a compassion that bends low to reach.",0,0,0,2,0,1291,2,0,,1,1,1,1,0,0,0,2,2
abderrazzak,Abderrazzak,عَبْد الرَّزَّاق,عَبْد الرَّزَّاق,Male,Male,Male,Male,Abderrazzak is a boy name in Islam. Abderrazzak — Servant of the Provider — North African. This name carries deep ro.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Ra · Zayn · Alif · Qaf,Servant of الرزاق — the Provider,"ر-ز-ق — From r-z-q, to provide sustenance — ar-Razzāq (the Provider) is the divine name in ʿAbd ar-Razzāq, sharing the root with rizq (provision).","Ain-Ba-Dal of the servant, Ra mercy in motion, Zayn the ornament, Alif the origin, Qaf the heart drawn near. Servant, mercy, adornment, origin, nearness — a hand that takes from One source and gives without measuring.",0,0,0,2,0,1342,2,0,,1,1,1,1,0,0,0,2,2
abdessabour,Abdessabour,عَبْد الصَّبُور,عَبْد الصَّبُور,Male,Male,Male,Male,Abdessabour is a boy name in Islam. Abdessabour — Servant of the Patient — North African. This name carries deep roo.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Sad · Ba · Waw · Ra,Servant of الصبور — the Patient,"ص-ب-ر — From ṣ-b-r, patience, endurance — aṣ-Ṣabūr (the Patient) is the divine name in ʿAbd aṣ-Ṣabūr, sharing the root with ṣabr.","Ain-Ba-Dal of the servant, Sad the fidelity and ṣafāʾ, Ba the foundation, Waw the conjunction, Ra mercy in motion. Servant, purity, foundation, connection, mercy — a steadiness that does not ask the storm to stop.",0,0,0,1,0,1257,4,0,,1,1,1,1,0,0,0,1,1
abdessalam,Abdessalam,عَبْد السَّلَام,عَبْد السَّلَام,Male,Male,Male,Male,Abdessalam is a boy name in Islam. Servant of Peace — North African boys name.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Sin · Lam · Alif · Meem,Servant of السلام — the Source of Peace,"س-ل-م — From s-l-m, peace, soundness, surrender — as-Salām (the Source of Peace) is the divine name in ʿAbd as-Salām, the root of islām and salām.","Ain-Ba-Dal of the servant, Seen the seal of secret, Lam the joining, Alif the origin, Meem the water of love. Servant, secret, joining, origin, love — a peace handed down from above and kept whole.",0,0,0,3,0,1370,2,0,,1,1,1,1,0,0,0,3,3
abdessalem,Abdessalem,عَبْد السَّلَام,عَبْد السَّلَام,Male,Male,Male,Male,Abdessalem is a boy name in Islam. Servant of Peace — North African.,Arabic,9,Ain · Ba · Dal · Alif · Lam · Sin · Lam · Alif · Meem,Servant of السلام — the Source of Peace,"ع-ب-د / س-ل-م — A compound of ʿabd (servant) from ʿ-b-d and al-Salām (the Peace) from s-l-m. Servant of Peace, one of the divine names of God.","The Ain perceives Peace, the Ba founds the servanthood, the Dal opens the door of return; then the Seen seals the secret of peace, the Lam joins the heart to it, and the Meem of love completes the servant of the Peace.",0,0,0,0,0,1345,2,0,,1,1,1,1,0,0,0,1,1
abdessamad,Abdessamad,عَبْد الصَّمَد,عَبْد الصَّمَد,Male,Male,Male,Male,Abdessamad is a boy name in Islam. Abdessamad — Servant of the Eternal — North African. .,Arabic,8,Ain · Ba · Dal · Alif · Lam · Sad · Meem · Dal,Servant of الصمد — the Eternal Refuge,"ص-م-د — From ṣ-m-d, eternal, self-subsistent, the one all turn to — aṣ-Ṣamad is the divine name in ʿAbd aṣ-Ṣamad, central to Surat al-Ikhlas.","Ain-Ba-Dal of the servant, Sad the fidelity and purity, Meem the water of love, Dal the door of return. Servant, purity, love, threshold — a soul leaning on the One who never tires.",0,0,0,1,0,1236,2,0,,1,1,1,1,0,0,0,1,1
